#separator:tab
#html:false
#columns:짝	용어A	정의A	상세A	사례A	용어B	정의B	상세B	사례B	함정	위치	태그
세션 계층 vs 표현 계층	세션 계층	송수신 간 논리적 연결을 설정·관리·해제하고 대화를 제어하는 5계층	동기점(체크포인트)을 사용해 대화를 제어하고 반이중·전이중 통신 방식을 결정한다. 표현 계층과 헷갈린다.	대용량 전송이 끊기면 마지막 동기점부터 다시 시작한다.	표현 계층	코드 변환, 데이터 암호화·복호화, 압축, 구문 검색을 담당하는 6계층	서로 다른 표현 형식을 통일한다. 암호화·압축이 핵심어다.	JPEG 압축, 문자 인코딩 변환, 암호화.	동기점·대화 제어 = 세션 계층. | 암호화·압축·코드 변환 = 표현 계층.	4-12 네트워크 기초 · OSI 7계층 (4과목)	유형_혼동짝 과목4
응용 계층 vs 표현 계층	응용 계층	사용자에게 직접 서비스를 제공하는 7계층	프로토콜은 HTTP, FTP, SMTP, POP3, IMAP, DNS, Telnet, SNMP다.	브라우저가 HTTP 로, 메일 앱이 SMTP 로 말한다.	표현 계층	코드 변환, 데이터 암호화·복호화, 압축, 구문 검색을 담당하는 6계층	서로 다른 표현 형식을 통일한다. 암호화·압축이 핵심어다.	JPEG 압축, 문자 인코딩 변환, 암호화.	계층별 프로토콜 배정 문제. | 암호화·압축·코드 변환 = 표현 계층.	4-12 네트워크 기초 · OSI 7계층 (4과목)	유형_혼동짝 과목4
패킷 vs 프레임	패킷	네트워크 계층의 프로토콜 데이터 단위	헤더에 발신지·목적지 IP 주소가 들어간다. 라우터가 이를 보고 경로를 결정한다.	다른 네트워크로 갈 때의 데이터 덩어리 — 헤더에 IP 주소가 있다.	프레임	데이터 링크 계층의 프로토콜 데이터 단위	헤더에 MAC 주소가 들어간다. 네트워크 계층의 PDU는 패킷이므로 계층을 바꿔 내는 함정이 잦다.	같은 랜 안에서 오가는 데이터 덩어리 — 헤더에 MAC 주소가 있다.	계층별 PDU 대응 문제. | 프레임을 네트워크 계층에 붙이는 오답이 반복 출제된다.	4-12 네트워크 기초 · OSI 7계층 (4과목)	유형_혼동짝 과목4
MAC 주소 vs 프레임	MAC 주소	네트워크 인터페이스에 부여된 48비트 물리 주소	제조사가 부여하며 변경되지 않는 것이 원칙이다. IP는 논리 주소이며 ARP가 둘을 변환한다.	ipconfig /all 에 나오는 물리 주소 — 48비트, 제조사가 부여.	프레임	데이터 링크 계층의 프로토콜 데이터 단위	헤더에 MAC 주소가 들어간다. 네트워크 계층의 PDU는 패킷이므로 계층을 바꿔 내는 함정이 잦다.	같은 랜 안에서 오가는 데이터 덩어리 — 헤더에 MAC 주소가 있다.	논리 주소와 물리 주소를 구별하게 한다. | 프레임을 네트워크 계층에 붙이는 오답이 반복 출제된다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
TCP vs UDP	TCP	신뢰성 있는 연결형 전송을 제공하는 전송 계층 프로토콜	3-way handshaking으로 연결을 설정한다. 흐름 제어, 오류 제어, 순서 보장을 제공하며 헤더는 20~60바이트다.	파일 다운로드처럼 한 바이트도 빠지면 안 되는 통신.	UDP	비연결형으로 신뢰성보다 속도를 우선하는 전송 계층 프로토콜	헤더가 8바이트로 단순하다. 흐름 제어·오류 복구를 하지 않는다. 실시간 스트리밍, DNS에 쓴다.	유튜브 실시간 스트리밍, DNS 조회, 온라인 게임.	TCP와 UDP의 특성을 바꿔 낸다. | 헤더 크기(TCP 20, UDP 8)와 연결 여부를 묻는다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
3-way handshaking vs TCP	3-way handshaking	TCP 연결 설정을 위해 SYN, SYN+ACK, ACK 세 단계를 주고받는 절차	이 과정을 악용해 반연결 상태를 대량 만드는 것이 SYN Flooding 공격이다.	SYN → SYN+ACK → ACK 로 연결을 맺는다.	TCP	신뢰성 있는 연결형 전송을 제공하는 전송 계층 프로토콜	3-way handshaking으로 연결을 설정한다. 흐름 제어, 오류 제어, 순서 보장을 제공하며 헤더는 20~60바이트다.	파일 다운로드처럼 한 바이트도 빠지면 안 되는 통신.	단계 순서와 SYN Flooding과의 관계를 묻는다. | TCP와 UDP의 특성을 바꿔 낸다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
3-way handshaking vs SYN Flooding	3-way handshaking	TCP 연결 설정을 위해 SYN, SYN+ACK, ACK 세 단계를 주고받는 절차	이 과정을 악용해 반연결 상태를 대량 만드는 것이 SYN Flooding 공격이다.	SYN → SYN+ACK → ACK 로 연결을 맺는다.	SYN Flooding	존재하지 않는 클라이언트가 서버별로 한정된 접속 가능 공간에 접속한 것처럼 속여 다른 사용자가 서비스를 이용하지 못하게 하는 DoS 공격	TCP 3-way handshaking의 반연결 상태를 대량으로 만든다.	SYN만 보내고 ACK를 안 보내 반연결 상태로 접속 공간을 소진시킨다.	단계 순서와 SYN Flooding과의 관계를 묻는다. | 반연결 소진 = SYN Flooding.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
ICMP vs IP	ICMP	IP의 동작 중 전송 오류가 발생할 때 오류 정보를 전송하고 경로 변경 등 제어 메시지를 관리하는 프로토콜	헤더는 8바이트다. ping과 traceroute가 이를 사용한다. Error Checking Protocol(ECP)이라는 프로토콜은 존재하지 않는다.	ping 이 응답을 받는 것도, traceroute 가 경로를 그리는 것도 ICMP다.	IP	비신뢰성·비연결형 데이터그램 전송을 담당하는 인터넷 계층 프로토콜	패킷 전달만 담당하고 오류 제어·흐름 제어는 하지 않는다. 오류 보고는 ICMP가 담당한다.	패킷을 목적지까지 「던지기만」 하고 도착 보장은 안 한다.	존재하지 않는 ECP를 오답 선택지로 넣는다. C는 Control이다. | IP가 신뢰성을 제공한다는 문장은 오답이다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
ICMP vs IGMP	ICMP	IP의 동작 중 전송 오류가 발생할 때 오류 정보를 전송하고 경로 변경 등 제어 메시지를 관리하는 프로토콜	헤더는 8바이트다. ping과 traceroute가 이를 사용한다. Error Checking Protocol(ECP)이라는 프로토콜은 존재하지 않는다.	ping 이 응답을 받는 것도, traceroute 가 경로를 그리는 것도 ICMP다.	IGMP	멀티캐스트 그룹의 가입과 탈퇴를 관리하는 인터넷 계층 프로토콜	멀티캐스트라는 단어가 핵심이다.	IPTV 채널을 바꿀 때 멀티캐스트 그룹에 가입·탈퇴한다.	존재하지 않는 ECP를 오답 선택지로 넣는다. C는 Control이다. | 프로토콜별 역할 짝짓기.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
ARP vs ICMP	ARP	논리 주소(IP)를 물리 주소(MAC)로 변환하는 프로토콜	방향이 IP에서 MAC이다. 반대 방향은 RARP다.	같은 공유기 안에서 192.168.0.5 의 MAC 주소를 찾는다.	ICMP	IP의 동작 중 전송 오류가 발생할 때 오류 정보를 전송하고 경로 변경 등 제어 메시지를 관리하는 프로토콜	헤더는 8바이트다. ping과 traceroute가 이를 사용한다. Error Checking Protocol(ECP)이라는 프로토콜은 존재하지 않는다.	ping 이 응답을 받는 것도, traceroute 가 경로를 그리는 것도 ICMP다.	ARP와 RARP의 변환 방향을 바꿔 낸다. | 존재하지 않는 ECP를 오답 선택지로 넣는다. C는 Control이다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
ICMP vs Ping of Death	ICMP	IP의 동작 중 전송 오류가 발생할 때 오류 정보를 전송하고 경로 변경 등 제어 메시지를 관리하는 프로토콜	헤더는 8바이트다. ping과 traceroute가 이를 사용한다. Error Checking Protocol(ECP)이라는 프로토콜은 존재하지 않는다.	ping 이 응답을 받는 것도, traceroute 가 경로를 그리는 것도 ICMP다.	Ping of Death	정상 크기보다 큰 ICMP 패킷을 작은 조각으로 쪼개어 보내 대상이 조각화된 패킷을 처리하게 만드는 DoS 공격	재조립 부담으로 시스템이 마비된다.	정상보다 큰 ICMP를 조각으로 쪼개 보내 재조립 부담으로 마비시킨다.	존재하지 않는 ECP를 오답 선택지로 넣는다. C는 Control이다. | 큰 ICMP를 조각화 = Ping of Death.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
IGMP vs 멀티캐스트	IGMP	멀티캐스트 그룹의 가입과 탈퇴를 관리하는 인터넷 계층 프로토콜	멀티캐스트라는 단어가 핵심이다.	IPTV 채널을 바꿀 때 멀티캐스트 그룹에 가입·탈퇴한다.	멀티캐스트	하나의 송신자가 특정 그룹의 수신자들에게 전송하는 방식	1대다(그룹) 통신이다. IGMP가 그룹을 관리한다. Smurf 공격은 멀티캐스트가 아니라 브로드캐스트를 이용한다.	IPTV 채널을 시청 중인 가구에만 뿌린다.	프로토콜별 역할 짝짓기. | Smurf 공격 설명에 멀티캐스트를 끼워 넣는 함정이 있다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
ARP vs RARP	ARP	논리 주소(IP)를 물리 주소(MAC)로 변환하는 프로토콜	방향이 IP에서 MAC이다. 반대 방향은 RARP다.	같은 공유기 안에서 192.168.0.5 의 MAC 주소를 찾는다.	RARP	물리 주소(MAC)를 논리 주소(IP)로 변환하는 프로토콜	ARP의 반대 방향이다. 디스크 없는 워크스테이션이 자신의 IP를 알아낼 때 사용했다.	디스크 없는 단말이 자기 MAC 만 알고 IP 를 물어보던 방식.	ARP와 RARP의 변환 방향을 바꿔 낸다. | 방향 구별 문제.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
ARP vs MAC 주소	ARP	논리 주소(IP)를 물리 주소(MAC)로 변환하는 프로토콜	방향이 IP에서 MAC이다. 반대 방향은 RARP다.	같은 공유기 안에서 192.168.0.5 의 MAC 주소를 찾는다.	MAC 주소	네트워크 인터페이스에 부여된 48비트 물리 주소	제조사가 부여하며 변경되지 않는 것이 원칙이다. IP는 논리 주소이며 ARP가 둘을 변환한다.	ipconfig /all 에 나오는 물리 주소 — 48비트, 제조사가 부여.	ARP와 RARP의 변환 방향을 바꿔 낸다. | 논리 주소와 물리 주소를 구별하게 한다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
DHCP vs RARP	DHCP	호스트에 IP 주소 등 네트워크 설정을 자동으로 할당하는 프로토콜	IPv4는 주소 자동설정 기능이 없어 DHCP에 의존한다. IPv6는 자체 자동설정(SLAAC)을 지원한다.	카페 와이파이에 붙으면 IP가 자동으로 할당된다.	RARP	물리 주소(MAC)를 논리 주소(IP)로 변환하는 프로토콜	ARP의 반대 방향이다. 디스크 없는 워크스테이션이 자신의 IP를 알아낼 때 사용했다.	디스크 없는 단말이 자기 MAC 만 알고 IP 를 물어보던 방식.	IPv4의 자동설정은 DHCP에 의존한다는 점이 판단 기준이 된다. | 방향 구별 문제.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
HTTP vs HTTPS	HTTP	웹에서 하이퍼텍스트 문서를 전송하는 응용 계층 프로토콜	기본 포트는 80이다. HTTPS는 SSL/TLS를 적용하며 포트 443을 쓴다.	브라우저 주소창에 입력하는 그 프로토콜 — 포트 80.	HTTPS	HTTP에 SSL/TLS 암호화를 적용한 프로토콜	포트 443을 사용한다.	주소창 자물쇠 — HTTP에 TLS를 씌운 것, 포트 443.	포트 번호를 묻는다. | 포트 번호를 묻는다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
FTP vs HTTP	FTP	파일을 전송하기 위한 응용 계층 프로토콜	제어용 포트 21, 데이터용 포트 20을 사용한다. 능동 모드와 수동 모드가 있다.	FileZilla 로 서버에 파일을 올린다 — 제어 21, 데이터 20.	HTTP	웹에서 하이퍼텍스트 문서를 전송하는 응용 계층 프로토콜	기본 포트는 80이다. HTTPS는 SSL/TLS를 적용하며 포트 443을 쓴다.	브라우저 주소창에 입력하는 그 프로토콜 — 포트 80.	포트 번호와 용도를 묻는다. | 포트 번호를 묻는다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
FTP vs TFTP	FTP	파일을 전송하기 위한 응용 계층 프로토콜	제어용 포트 21, 데이터용 포트 20을 사용한다. 능동 모드와 수동 모드가 있다.	FileZilla 로 서버에 파일을 올린다 — 제어 21, 데이터 20.	TFTP	UDP 기반의 간단한 파일 전송 프로토콜	포트 69를 쓰고 인증 기능이 없다. FTP는 TCP 기반이며 인증이 있다.	네트워크 부팅에서 UDP로 작은 이미지 파일을 받아 온다 — 포트 69.	포트 번호와 용도를 묻는다. | FTP와의 차이를 묻는다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
POP3 vs SMTP	POP3	메일 서버에서 전자우편을 수신·다운로드하는 프로토콜	포트 110이다. 서버에서 메일을 내려받고 지우는 방식이 기본이다.	메일을 PC로 내려받고 서버에서 지운다 — 포트 110.	SMTP	전자우편을 송신하는 응용 계층 프로토콜	포트 25다. 수신은 POP3(110) 또는 IMAP(143)이 담당한다.	메일을 「보낼」 때 쓰는 프로토콜 — 포트 25.	송수신 구별. | 송신과 수신 프로토콜을 바꿔 낸다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
IMAP vs SMTP	IMAP	메일을 서버에 두고 관리하며 열람하는 수신 프로토콜	포트 143이다. POP3는 내려받아 서버에서 삭제하는 방식이 기본이라 다르다.	여러 기기에서 같은 메일함을 동기화해 본다 — 포트 143.	SMTP	전자우편을 송신하는 응용 계층 프로토콜	포트 25다. 수신은 POP3(110) 또는 IMAP(143)이 담당한다.	메일을 「보낼」 때 쓰는 프로토콜 — 포트 25.	POP3와의 차이를 묻는다. | 송신과 수신 프로토콜을 바꿔 낸다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
IMAP vs POP3	IMAP	메일을 서버에 두고 관리하며 열람하는 수신 프로토콜	포트 143이다. POP3는 내려받아 서버에서 삭제하는 방식이 기본이라 다르다.	여러 기기에서 같은 메일함을 동기화해 본다 — 포트 143.	POP3	메일 서버에서 전자우편을 수신·다운로드하는 프로토콜	포트 110이다. 서버에서 메일을 내려받고 지우는 방식이 기본이다.	메일을 PC로 내려받고 서버에서 지운다 — 포트 110.	POP3와의 차이를 묻는다. | 송수신 구별.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
SSH vs Telnet	SSH	암호화된 통신으로 원격 접속하는 프로토콜	포트 22다. 평문 전송인 Telnet(23)을 대체했다.	ssh user@server 로 안전하게 원격 접속한다 — 포트 22.	Telnet	원격 호스트에 접속해 명령을 실행하는 응용 계층 프로토콜	포트 23이다. 암호화하지 않아 SSH(22)로 대체되었다.	평문으로 원격 접속해 비밀번호가 그대로 노출된다 — 포트 23.	포트 번호와 보안성을 묻는다. | 포트 번호와 보안성을 묻는다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
DHCP vs IPv6	DHCP	호스트에 IP 주소 등 네트워크 설정을 자동으로 할당하는 프로토콜	IPv4는 주소 자동설정 기능이 없어 DHCP에 의존한다. IPv6는 자체 자동설정(SLAAC)을 지원한다.	카페 와이파이에 붙으면 IP가 자동으로 할당된다.	IPv6	128비트 주소 체계를 사용하는 차세대 인터넷 프로토콜	16비트씩 8부분을 콜론(:)으로 구분한다. 패킷 헤더는 40옥텟 고정이다. 주소 자동설정, 인증성·기밀성·데이터 무결성을 지원하고 IPv4보다 전송 속도가 빠르다. 전송 방식은 유니캐스트·멀티캐스트·애니캐스트이며 브로드캐스트가 없다.	2001:0db8::1 — 16비트씩 여덟 덩어리, 콜론으로 구분.	IPv4의 자동설정은 DHCP에 의존한다는 점이 판단 기준이 된다. | 헤더 32옥텟이라는 오답과 전송 속도가 느리다는 오답이 반복 출제된다.	4-13 TCP/IP · 프로토콜 (4과목)	유형_혼동짝 과목4
IPv4 vs IPv6	IPv4	32비트 주소 체계를 사용하는 인터넷 프로토콜 버전	8비트씩 4부분을 점(.)으로 구분한다. A부터 E까지 5개 클래스로 나뉘고 클래스별로 네트워크·호스트 주소 길이가 다르다. 유니캐스트·멀티캐스트·브로드캐스트를 지원한다.	192.168.0.1 — 8비트씩 네 덩어리, 점으로 구분.	IPv6	128비트 주소 체계를 사용하는 차세대 인터넷 프로토콜	16비트씩 8부분을 콜론(:)으로 구분한다. 패킷 헤더는 40옥텟 고정이다. 주소 자동설정, 인증성·기밀성·데이터 무결성을 지원하고 IPv4보다 전송 속도가 빠르다. 전송 방식은 유니캐스트·멀티캐스트·애니캐스트이며 브로드캐스트가 없다.	2001:0db8::1 — 16비트씩 여덟 덩어리, 콜론으로 구분.	IPv4와 IPv6의 숫자를 바꿔 낸다. | 헤더 32옥텟이라는 오답과 전송 속도가 느리다는 오답이 반복 출제된다.	4-14 IP 주소 · 라우팅 (4과목)	유형_혼동짝 과목4
IPv4 vs 서브넷 마스크	IPv4	32비트 주소 체계를 사용하는 인터넷 프로토콜 버전	8비트씩 4부분을 점(.)으로 구분한다. A부터 E까지 5개 클래스로 나뉘고 클래스별로 네트워크·호스트 주소 길이가 다르다. 유니캐스트·멀티캐스트·브로드캐스트를 지원한다.	192.168.0.1 — 8비트씩 네 덩어리, 점으로 구분.	서브넷 마스크	IP 주소에서 네트워크 부분과 호스트 부분을 구분하는 비트 마스크	255.255.255.0 은 /24 이며 호스트 주소가 8비트다. 사용 가능한 호스트 수는 2의 호스트비트승 − 2다.	255.255.255.0(/24)이면 호스트 8비트, 쓸 수 있는 주소는 254개.	IPv4와 IPv6의 숫자를 바꿔 낸다. | 서브넷 개수와 호스트 개수를 계산하게 한다.	4-14 IP 주소 · 라우팅 (4과목)	유형_혼동짝 과목4
IP 클래스 vs IPv4	IP 클래스	IPv4 주소를 네트워크 크기에 따라 A부터 E까지 나눈 분류	A는 0으로 시작(대규모), B는 10(중규모), C는 110(소규모), D는 1110(멀티캐스트), E는 1111(연구용)이다.	192.168.0.1 은 첫 비트가 110 이라 C 클래스다.	IPv4	32비트 주소 체계를 사용하는 인터넷 프로토콜 버전	8비트씩 4부분을 점(.)으로 구분한다. A부터 E까지 5개 클래스로 나뉘고 클래스별로 네트워크·호스트 주소 길이가 다르다. 유니캐스트·멀티캐스트·브로드캐스트를 지원한다.	192.168.0.1 — 8비트씩 네 덩어리, 점으로 구분.	클래스별 첫 비트와 용도를 묻는다. | IPv4와 IPv6의 숫자를 바꿔 낸다.	4-14 IP 주소 · 라우팅 (4과목)	유형_혼동짝 과목4
IPv6 vs 애니캐스트	IPv6	128비트 주소 체계를 사용하는 차세대 인터넷 프로토콜	16비트씩 8부분을 콜론(:)으로 구분한다. 패킷 헤더는 40옥텟 고정이다. 주소 자동설정, 인증성·기밀성·데이터 무결성을 지원하고 IPv4보다 전송 속도가 빠르다. 전송 방식은 유니캐스트·멀티캐스트·애니캐스트이며 브로드캐스트가 없다.	2001:0db8::1 — 16비트씩 여덟 덩어리, 콜론으로 구분.	애니캐스트	동일 주소를 가진 여러 노드 중 가장 가까운 하나에게 전송하는 IPv6 전송 방식	IPv6에서 새로 도입되었다.	같은 주소를 가진 여러 CDN 노드 중 가장 가까운 곳이 응답한다.	헤더 32옥텟이라는 오답과 전송 속도가 느리다는 오답이 반복 출제된다. | IPv6 전송 방식 3종 나열형.	4-14 IP 주소 · 라우팅 (4과목)	유형_혼동짝 과목4
애니캐스트 vs 유니캐스트	애니캐스트	동일 주소를 가진 여러 노드 중 가장 가까운 하나에게 전송하는 IPv6 전송 방식	IPv6에서 새로 도입되었다.	같은 주소를 가진 여러 CDN 노드 중 가장 가까운 곳이 응답한다.	유니캐스트	하나의 송신자가 하나의 수신자에게 전송하는 방식	1대1 통신이다.	내 PC에서 특정 서버 하나로 보내는 일반 통신.	IPv6 전송 방식 3종 나열형. | 전송 방식 분류 문제.	4-14 IP 주소 · 라우팅 (4과목)	유형_혼동짝 과목4
멀티캐스트 vs 브로드캐스트	멀티캐스트	하나의 송신자가 특정 그룹의 수신자들에게 전송하는 방식	1대다(그룹) 통신이다. IGMP가 그룹을 관리한다. Smurf 공격은 멀티캐스트가 아니라 브로드캐스트를 이용한다.	IPTV 채널을 시청 중인 가구에만 뿌린다.	브로드캐스트	같은 네트워크의 모든 호스트에게 전송하는 방식	IPv4에만 있고 IPv6에는 없다. Smurf 공격이 이를 악용한다.	ARP 요청처럼 같은 네트워크 전체에 뿌린다.	Smurf 공격 설명에 멀티캐스트를 끼워 넣는 함정이 있다. | IPv6에 브로드캐스트가 없다는 점을 묻는다.	4-14 IP 주소 · 라우팅 (4과목)	유형_혼동짝 과목4
Smurf 공격 vs 멀티캐스트	Smurf 공격	네트워크 라우터의 브로드캐스트 주소를 활용해 위조된 ICMP 요청을 보내 응답이 피해자에게 폭주하게 하는 DoS 공격	출발지 IP를 피해자로 위조하고 브로드캐스트로 보낸다. 멀티캐스트를 활용한다고 하면 틀린 보기다.	출발지를 피해자로 위조한 ICMP를 브로드캐스트로 뿌려 응답이 피해자에게 몰리게 한다.	멀티캐스트	하나의 송신자가 특정 그룹의 수신자들에게 전송하는 방식	1대다(그룹) 통신이다. IGMP가 그룹을 관리한다. Smurf 공격은 멀티캐스트가 아니라 브로드캐스트를 이용한다.	IPTV 채널을 시청 중인 가구에만 뿌린다.	멀티캐스트로 바꿔 서술하는 오답이 반복 출제된다. | Smurf 공격 설명에 멀티캐스트를 끼워 넣는 함정이 있다.	5-11 서비스 공격 유형 (5과목)	유형_혼동짝 과목5
Smurf 공격 vs 브로드캐스트	Smurf 공격	네트워크 라우터의 브로드캐스트 주소를 활용해 위조된 ICMP 요청을 보내 응답이 피해자에게 폭주하게 하는 DoS 공격	출발지 IP를 피해자로 위조하고 브로드캐스트로 보낸다. 멀티캐스트를 활용한다고 하면 틀린 보기다.	출발지를 피해자로 위조한 ICMP를 브로드캐스트로 뿌려 응답이 피해자에게 몰리게 한다.	브로드캐스트	같은 네트워크의 모든 호스트에게 전송하는 방식	IPv4에만 있고 IPv6에는 없다. Smurf 공격이 이를 악용한다.	ARP 요청처럼 같은 네트워크 전체에 뿌린다.	멀티캐스트로 바꿔 서술하는 오답이 반복 출제된다. | IPv6에 브로드캐스트가 없다는 점을 묻는다.	5-11 서비스 공격 유형 (5과목)	유형_혼동짝 과목5
서브네팅 vs 서브넷 마스크	서브네팅	하나의 네트워크를 여러 개의 작은 논리 네트워크로 분할하는 기법	호스트 비트를 네트워크 비트로 빌려 쓴다. 네트워크 주소와 브로드캐스트 주소는 호스트로 쓸 수 없다.	/24 하나를 /26 네 개로 쪼개 부서별로 나눈다.	서브넷 마스크	IP 주소에서 네트워크 부분과 호스트 부분을 구분하는 비트 마스크	255.255.255.0 은 /24 이며 호스트 주소가 8비트다. 사용 가능한 호스트 수는 2의 호스트비트승 − 2다.	255.255.255.0(/24)이면 호스트 8비트, 쓸 수 있는 주소는 254개.	필요한 서브넷 수에 맞는 마스크를 구하게 한다. | 서브넷 개수와 호스트 개수를 계산하게 한다.	4-14 IP 주소 · 라우팅 (4과목)	유형_혼동짝 과목4
CIDR vs 서브넷 마스크	CIDR	클래스 구분 없이 프리픽스 길이로 네트워크를 표기하는 방식	192.168.1.0/24 형식이다. 주소 낭비를 줄인다.	10.0.0.0/8 처럼 클래스 없이 프리픽스 길이로 표기한다.	서브넷 마스크	IP 주소에서 네트워크 부분과 호스트 부분을 구분하는 비트 마스크	255.255.255.0 은 /24 이며 호스트 주소가 8비트다. 사용 가능한 호스트 수는 2의 호스트비트승 − 2다.	255.255.255.0(/24)이면 호스트 8비트, 쓸 수 있는 주소는 254개.	프리픽스 표기를 마스크로 변환하게 한다. | 서브넷 개수와 호스트 개수를 계산하게 한다.	4-14 IP 주소 · 라우팅 (4과목)	유형_혼동짝 과목4
NAT vs 사설 IP	NAT	사설 IP 주소를 공인 IP 주소로 변환하는 기술	IPv4 주소 부족을 완화한다. 내부 주소를 숨기므로 보안 효과도 있다.	집 공유기가 내부 192.168.x.x 를 공인 IP 하나로 바꿔 준다.	사설 IP	외부 인터넷에서 직접 라우팅되지 않는 내부용 IP 주소 대역	10.0.0.0/8, 172.16.0.0/12, 192.168.0.0/16 이 사설 대역이다. NAT로 공인 주소로 변환한다.	192.168.0.x, 10.x.x.x, 172.16~31.x.x.	주소 부족 해결 기술로 출제. | 사설 대역 범위를 고르게 한다.	4-14 IP 주소 · 라우팅 (4과목)	유형_혼동짝 과목4
RIP vs 라우팅	RIP	거리 벡터 알고리즘을 사용하는 내부 라우팅 프로토콜	최대 홉 수가 15로 제한되어 소규모 네트워크에 적합하다. 30초마다 라우팅 정보를 교환한다.	소규모 사무실 망 — 홉 수가 15를 넘으면 못 간다.	라우팅	패킷이 목적지까지 갈 최적 경로를 결정하는 과정	정적 라우팅과 동적 라우팅이 있고, 동적 라우팅은 내부용 IGP(RIP, OSPF)와 외부용 EGP(BGP)로 나뉜다.	서울 → 도쿄 → 시애틀 → 목적지 경로를 라우터가 정한다.	홉 수 제한(15)을 묻는다. | 프로토콜을 IGP/EGP로 분류하게 한다.	4-14 IP 주소 · 라우팅 (4과목)	유형_혼동짝 과목4
라우터 vs 라우팅	라우터	LAN 연결 기능에 최적 경로 선택 기능을 더한 네트워크 계층 장비	서로 다른 LAN이나 LAN과 WAN을 연결한다. IP 주소를 기반으로 라우팅한다.	집 공유기가 내부망과 인터넷을 잇고 경로를 정한다.	라우팅	패킷이 목적지까지 갈 최적 경로를 결정하는 과정	정적 라우팅과 동적 라우팅이 있고, 동적 라우팅은 내부용 IGP(RIP, OSPF)와 외부용 EGP(BGP)로 나뉜다.	서울 → 도쿄 → 시애틀 → 목적지 경로를 라우터가 정한다.	3계층 장비임을 묻는다. | 프로토콜을 IGP/EGP로 분류하게 한다.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_혼동짝 과목4
OSPF vs RIP	OSPF	링크 상태 알고리즘을 사용하는 내부 라우팅 프로토콜	다익스트라 알고리즘으로 최단 경로를 계산한다. 홉 수 제한이 없어 대규모 네트워크에 적합하다.	대학 캠퍼스망처럼 큰 조직 내부에서 최단 경로를 계산한다.	RIP	거리 벡터 알고리즘을 사용하는 내부 라우팅 프로토콜	최대 홉 수가 15로 제한되어 소규모 네트워크에 적합하다. 30초마다 라우팅 정보를 교환한다.	소규모 사무실 망 — 홉 수가 15를 넘으면 못 간다.	거리 벡터(RIP)와 링크 상태(OSPF)를 바꿔 낸다. | 홉 수 제한(15)을 묻는다.	4-14 IP 주소 · 라우팅 (4과목)	유형_혼동짝 과목4
BGP vs RIP	BGP	자율 시스템(AS) 간 경로를 교환하는 외부 라우팅 프로토콜	경로 벡터 방식이다. 인터넷 백본에서 사용한다.	KT와 SKT 같은 통신사(AS) 사이의 경로를 교환한다 — 인터넷 백본.	RIP	거리 벡터 알고리즘을 사용하는 내부 라우팅 프로토콜	최대 홉 수가 15로 제한되어 소규모 네트워크에 적합하다. 30초마다 라우팅 정보를 교환한다.	소규모 사무실 망 — 홉 수가 15를 넘으면 못 간다.	IGP와 EGP 분류 문제. | 홉 수 제한(15)을 묻는다.	4-14 IP 주소 · 라우팅 (4과목)	유형_혼동짝 과목4
BGP vs OSPF	BGP	자율 시스템(AS) 간 경로를 교환하는 외부 라우팅 프로토콜	경로 벡터 방식이다. 인터넷 백본에서 사용한다.	KT와 SKT 같은 통신사(AS) 사이의 경로를 교환한다 — 인터넷 백본.	OSPF	링크 상태 알고리즘을 사용하는 내부 라우팅 프로토콜	다익스트라 알고리즘으로 최단 경로를 계산한다. 홉 수 제한이 없어 대규모 네트워크에 적합하다.	대학 캠퍼스망처럼 큰 조직 내부에서 최단 경로를 계산한다.	IGP와 EGP 분류 문제. | 거리 벡터(RIP)와 링크 상태(OSPF)를 바꿔 낸다.	4-14 IP 주소 · 라우팅 (4과목)	유형_혼동짝 과목4
