#separator:tab
#html:false
#columns:용어	영문	한줄정의	상세설명	사례	고리	혼동용어	출제형태	위치	태그
게이트웨이	Gateway	프로토콜이 전혀 다른 네트워크를 연결하는 장비	전송 계층 이상에서 동작한다. 네트워크의 출입구 역할이다.	프로토콜이 전혀 다른 두 망을 통역해 연결한다.	4계층 이상 · 출입구.	라우터 / 브라우터	라우터와 게이트웨이의 계층 차이를 묻는다.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_용어 과목4 챕터_4_15
스패닝 트리 알고리즘	Spanning Tree Algorithm, STA	브리지로 구성된 LAN에서 루프(폐회로)를 형성하지 않으면서 연결을 설정하는 알고리즘	IEEE 802.1에 규정되어 있다. 트리 구조에는 순환이 없다는 원리를 이용한다.	스위치를 여러 대 이중으로 연결했을 때 루프를 자동으로 끊는다.	트리에는 순환이 없다 — IEEE 802.1.	브리지 / IEEE 802.3	해시·전자서명 같은 무관한 알고리즘과 섞어 낸다.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_용어 과목4 챕터_4_15 오답노트출처
회선 교환	Circuit Switching	통신 전에 물리적 경로를 확보하고 통신 내내 독점하는 방식	전송 지연이 거의 없고 일정하나 회선 이용률이 낮다.	옛 전화 — 통화 내내 회선을 독점한다.	지연이 일정하나 이용률이 낮다.	패킷 교환 / 가상 회선	교환 방식 비교.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_용어 과목4 챕터_4_15
패킷 교환	Packet Switching	데이터를 패킷 단위로 나누어 전송하는 방식	가상 회선(연결형)과 데이터그램(비연결형)으로 나뉜다. 회선 이용률이 높다.	인터넷 — 데이터를 잘라 각각 보낸다.	가상 회선과 데이터그램.	회선 교환 / 데이터그램 / 가상 회선	가상 회선과 데이터그램의 특성을 바꿔 낸다.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_용어 과목4 챕터_4_15
가상 회선	Virtual Circuit	패킷 교환에서 논리적 경로를 미리 설정해 순서대로 전송하는 연결형 방식	패킷이 도착 순서를 보장한다.	경로를 미리 정해 두고 보내 순서가 보장된다.	연결형.	데이터그램 / 패킷 교환	순서 보장 여부로 구별.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_용어 과목4 챕터_4_15
데이터그램	Datagram	패킷마다 독립적으로 경로를 결정하는 비연결형 패킷 교환 방식	순서가 뒤바뀔 수 있어 수신 측에서 재조립해야 한다.	패킷마다 다른 길로 가서 순서가 뒤바뀔 수 있다.	비연결형 — IP가 이 방식.	가상 회선 / IP	IP가 데이터그램 방식임을 묻는다.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_용어 과목4 챕터_4_15
단방향 통신	Simplex	한쪽 방향으로만 데이터를 전송하는 통신 방식	라디오, TV 방송이 예시다.	라디오·TV 방송 — 한쪽으로만 흐른다.	Simplex.	반이중 통신 / 전이중 통신	통신 방식 3종 분류.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_용어 과목4 챕터_4_15
반이중 통신	Half Duplex	양방향 전송이 가능하나 동시에는 한 방향만 가능한 통신 방식	무전기가 예시다. 세션 계층에서 결정한다.	무전기 — 말할 때는 못 듣는다.	Half Duplex · 세션 계층에서 결정.	전이중 통신 / 단방향 통신 / 세션 계층	방식 3종 분류.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_용어 과목4 챕터_4_15
전이중 통신	Full Duplex	양방향으로 동시에 데이터를 전송할 수 있는 통신 방식	전화가 예시다.	전화 — 동시에 말하고 들을 수 있다.	Full Duplex.	반이중 통신 / 단방향 통신	방식 3종 분류.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_용어 과목4 챕터_4_15
WAN	Wide Area Network	국가나 대륙 단위의 넓은 지역을 연결하는 광역 통신망	LAN보다 전송 속도가 느리고 오류율이 높다.	서울 본사와 부산 지사를 전용선으로 잇는다.	국가·대륙 규모 · LAN보다 느리다.	LAN / MAN	통신망 규모 분류 문제.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_용어 과목4 챕터_4_15
MAN	Metropolitan Area Network	도시 규모의 지역을 연결하는 통신망	LAN과 WAN의 중간 규모다. DQDB 방식이 표준이다.	도시 규모 — LAN과 WAN 사이.	LAN < MAN < WAN.	LAN / WAN	규모 순서(LAN < MAN < WAN)를 묻는다.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_용어 과목4 챕터_4_15
IEEE 802.4	IEEE 802.4	토큰 버스 방식의 LAN 표준	802.5는 토큰 링이므로 번호를 바꿔 내는 함정이 있다.	토큰 버스 표준 — 802.5(토큰 링)와 짝으로 외운다.	4는 버스, 5는 링.	토큰 버스 / IEEE 802.5 / IEEE 802.3	표준 번호와 기술 짝짓기.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_용어 과목4 챕터_4_15
블루투스	Bluetooth	10m 내외의 근거리 무선 통신 기술	IEEE 802.15.1 표준이다. 관련 공격은 블루버그, 블루스나프, 블루프린팅, 블루재킹이다.	무선 이어폰, 차량 연결 — 10m 내외.	IEEE 802.15.1 · 관련 공격 4종이 단골.	IEEE 802.15 / 지그비 / 블루버그	공격 유형과 함께 출제된다.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_용어 과목4 챕터_4_15
지그비	ZigBee	저전력·저속도 근거리 무선 통신 기술	IEEE 802.15.4 표준이며 센서 네트워크와 홈 오토메이션에 쓴다.	스마트홈 센서·조명 — 저전력으로 오래 버틴다.	IEEE 802.15.4 · 저전력 센서망.	IEEE 802.15 / 블루투스 / USN	표준 번호 짝짓기.	4-15 LAN · 네트워크 장비 · 전송 방식 (4과목)	유형_용어 과목4 챕터_4_15
소프트웨어 생명주기	Software Life Cycle, SDLC	소프트웨어 개발의 전 과정을 단계로 나눈 절차 모형	일반 단계는 타당성 검토 → 개발 계획 → 요구사항 분석 → 설계 → 구현 → 테스트 → 운영 → 유지보수다. 대표 모형은 폭포수, 프로토타입, 나선형, 애자일이다.	제안·계약부터 오픈 후 유지보수까지 프로젝트 전 구간을 단계로 나눈 지도.	타당성 → 계획 → 분석 → 설계 → 구현 → 테스트 → 운영 → 유지보수.	폭포수 모형 / 프로토타입 모형 / 나선형 모형 / 애자일	모형별 특징과 순서를 바꿔 낸다.	5-1 소프트웨어 생명주기 모델 (5과목)	유형_용어 과목5 챕터_5_1
폭포수 모형	Waterfall Model	각 단계를 순차적으로 완료하고 다음 단계로 넘어가는 선형 순차 모형	고전적 생명주기 모형이다. 이전 단계로 돌아갈 수 없어 요구사항 변경에 취약하다. 각 단계마다 산출물이 명확하다.	공공 SI 사업 — 분석 산출물을 검수받고 나서야 설계로 넘어간다.	한 단계씩 도장 찍고 넘어간다. 되돌아가기 어렵다.	프로토타입 모형 / 나선형 모형 / V 모델	한 단계씩 확실히 마무리한다는 특성과 변경 취약성을 묻는다.	5-1 소프트웨어 생명주기 모델 (5과목)	유형_용어 과목5 챕터_5_1
프로토타입 모형	Prototype Model	사용자 요구를 반영한 견본품을 만들어 최종 결과를 미리 예측하는 모형	점진적으로 완성한다. 시제품이 최종 결과물이 되며 요구사항을 조기에 확정할 수 있다.	화면 시제품을 먼저 만들어 보여 주고 그것을 다듬어 최종 결과로 만든다.	시제품이 곧 최종 결과물이 된다.	폭포수 모형 / 나선형 모형 / 프로토타입	프로토타입이 최종 결과물이 된다는 점을 묻는다.	5-1 소프트웨어 생명주기 모델 (5과목)	유형_용어 과목5 챕터_5_1
나선형 모형	Spiral Model	위험을 최소화하기 위해 점진적으로 개발을 반복하는 모형	계획 및 정의 → 위험 분석 → 공학적 개발 → 고객 평가 4단계를 반복한다. 보흠(Boehm)이 제안했다. 위험 관리가 핵심이다.	대형 차세대 사업에서 위험이 큰 부분을 먼저 돌려 보고 다음 바퀴로 넘어간다.	계획 → 위험 분석 → 개발 → 고객 평가를 반복. 보흠.	폭포수 모형 / 프로토타입 모형 / 애자일	4단계 순서를 묻는다. 위험 분석이 핵심 단계다.	5-1 소프트웨어 생명주기 모델 (5과목)	유형_용어 과목5 챕터_5_1
V 모델	V-Model	폭포수 모형에 검증과 확인 단계를 대응시켜 V자로 표현한 모형	각 개발 단계에 대응하는 테스트 레벨이 있다. 요구 분석은 인수 테스트, 설계는 시스템·통합 테스트, 구현은 단위 테스트와 대응한다.	설계서를 쓸 때 그에 대응하는 통합 테스트 계획서를 같이 쓴다.	왼쪽 개발 단계마다 오른쪽 테스트 레벨이 짝을 이룬다.	폭포수 모형 / 테스트 레벨	개발 단계와 테스트 레벨의 대응을 묻는다.	5-1 소프트웨어 생명주기 모델 (5과목)	유형_용어 과목5 챕터_5_1
반복적 모형	Iterative Model	기능을 나누어 반복적으로 개발·인도하는 모형	증분형(Incremental)과 진화형(Evolutionary)으로 나뉜다.	1차에 로그인·주문만 열고, 2차에 정산·리포트를 붙여 인도한다.	증분형과 진화형.	나선형 모형 / 애자일	모형 종류 나열형.	5-1 소프트웨어 생명주기 모델 (5과목)	유형_용어 과목5 챕터_5_1
구조적 방법론	Structured Methodology	정형화된 분석 절차에 따라 문제를 기능 단위로 나누어 개발하는 방법론	분할과 정복(Divide and Conquer) 원리를 사용한다. 나씨-슈나이더만 차트와 자료 흐름도를 도구로 쓴다.	1980~90년대 COBOL 업무 시스템 — 기능을 계속 쪼개 프로그램 단위로 만든다.	분할과 정복. 자료 흐름도와 N-S 차트.	정보공학 방법론 / 객체지향 방법론 / 자료 흐름도	방법론별 핵심 도구를 짝짓게 한다.	5-2 소프트웨어 개발 방법론 (5과목)	유형_용어 과목5 챕터_5_2
정보공학 방법론	Information Engineering Methodology	정보 시스템 개발에 필요한 절차를 체계화해 전사적으로 적용하는 방법론	정보 전략 계획 → 업무 영역 분석 → 업무 시스템 설계 → 구축 순으로 진행한다. 데이터 중심 접근이다.	전사 데이터 모델을 먼저 세우고 그 위에 업무 시스템을 얹는다.	데이터 중심 · 전사적(ISP부터).	구조적 방법론 / 객체지향 방법론	단계 순서를 묻는다.	5-2 소프트웨어 개발 방법론 (5과목)	유형_용어 과목5 챕터_5_2
객체지향 방법론	Object-Oriented Methodology	객체를 기본 단위로 시스템을 분석·설계하는 방법론	구성 요소는 객체, 클래스, 메시지다. 원리는 캡슐화, 정보 은닉, 추상화, 상속성, 다형성이다.	자바로 도메인 클래스를 설계해 업무를 객체로 옮긴다.	캡슐화·정보은닉·추상화·상속·다형성.	구조적 방법론 / 컴포넌트 기반 방법론 / 캡슐화	5가지 원리 나열형.	5-2 소프트웨어 개발 방법론 (5과목)	유형_용어 과목5 챕터_5_2
컴포넌트 기반 방법론	Component Based Development, CBD	재사용 가능한 컴포넌트를 조립해 시스템을 개발하는 방법론	개발 기간 단축과 품질 향상이 장점이다. 컴포넌트를 블록처럼 조립한다.	전자정부 표준 컴포넌트를 조립해 민원 시스템을 빠르게 만든다.	블록처럼 조립 = CBD.	객체지향 방법론 / 컴포넌트 / 재사용	컴포넌트 조립 = CBD.	5-2 소프트웨어 개발 방법론 (5과목)	유형_용어 과목5 챕터_5_2
애자일 방법론	Agile Methodology	고객의 변화하는 요구에 유연하게 대응하며 반복적으로 개발하는 방법론	XP, 스크럼, 린, FDD, 크리스탈, ASD, DSDM이 속한다.	스타트업이 2주 단위로 기능을 내며 방향을 계속 고친다.	XP·스크럼·린·FDD·크리스탈.	애자일 / XP / 스크럼	방법론 종류 나열형.	5-2 소프트웨어 개발 방법론 (5과목)	유형_용어 과목5 챕터_5_2
제품 계열 방법론	Product Line Methodology	특정 제품군에 공통으로 사용할 수 있는 기능을 정의해 개발하는 방법론	임베디드 소프트웨어에 유용하다. 영역 공학과 응용 공학으로 나뉜다.	같은 세탁기 플랫폼으로 10개 모델의 펌웨어를 파생시킨다.	임베디드에 유용 — 영역 공학 + 응용 공학.	컴포넌트 기반 방법론 / 재사용	방법론 종류 나열형.	5-2 소프트웨어 개발 방법론 (5과목)	유형_용어 과목5 챕터_5_2
프로젝트 관리	Project Management	주어진 기간 내에 최소의 비용으로 사용자를 만족시키는 시스템을 개발하기 위한 전반적 활동	3대 요소는 사람(People), 문제(Problem), 프로세스(Process)다. 관리 유형은 일정, 비용, 인력, 위험, 품질 관리다.	착수보고부터 검수까지 일정·비용·인력·위험·품질을 함께 끌고 간다.	주어진 기간 내 최소 비용으로 사용자를 만족시키는 것 — 「산출물 관리」가 아니다.	위험 관리 / 소프트웨어 비용 산정 / CPM	산출물 관리라는 좁은 정의를 오답으로 제시한다.	5-2 소프트웨어 개발 방법론 (5과목)	유형_용어 과목5 챕터_5_2 오답노트출처
위험 관리	Risk Management	프로젝트 진행 중 예상되는 위험을 식별·분석·대응하는 활동	절차는 위험 식별 → 위험 분석 및 평가 → 위험 관리 계획 → 위험 감시 및 조치다. 대응 방법은 회피, 전가, 완화, 수용이다.	핵심 개발자 이탈 위험을 미리 식별해 인수인계 문서를 의무화한다.	식별 → 분석·평가 → 계획 → 감시·조치. 회피·전가·완화·수용.	프로젝트 관리 / 테일러링	절차 순서와 대응 방법을 묻는다.	5-2 소프트웨어 개발 방법론 (5과목)	유형_용어 과목5 챕터_5_2
소프트웨어 비용 산정	Software Cost Estimation	개발에 필요한 비용과 노력을 예측하는 활동	하향식(전문가 감정, 델파이)과 상향식(LOC, 개발 단계별 노력, 수학적 산정 기법)으로 나뉜다. 수학적 기법에는 COCOMO, Putnam, FP가 있다.	「이 시스템 얼마에, 몇 달에 됩니까」에 근거를 갖고 답하는 절차.	하향식(전문가·델파이)과 상향식(LOC·COCOMO·FP).	LOC / COCOMO / Putnam / 기능 점수	기법을 하향식/상향식으로 분류하게 한다.	5-3 비용 산정 · 일정 관리 (5과목)	유형_용어 과목5 챕터_5_3
전문가 감정 기법	Expert Judgement	조직 내 경험 많은 전문가에게 비용 산정을 의뢰하는 하향식 기법	신뢰도가 높으나 개인적·주관적 편향이 있을 수 있다. 델파이 기법으로 보완한다.	10년차 PM 세 명에게 「이 정도면 6개월」이라는 감을 받는다.	주관이 섞인다 — 델파이로 보완.	델파이 기법 / 소프트웨어 비용 산정	하향식 기법 분류.	5-3 비용 산정 · 일정 관리 (5과목)	유형_용어 과목5 챕터_5_3
LOC	Lines Of Code	원시 코드 라인 수를 낙관치·중간치·비관치로 추정해 비용을 산정하는 상향식 기법	예측치 = (낙관치 + 4 × 중간치 + 비관치) ÷ 6 이다. 노력(인월) = 개발 기간 × 투입 인원 = LOC ÷ 1인당 월평균 생산 코드 라인 수다.	낙관 2만 · 중간 2.6만 · 비관 3만 → (2만+10.4만+3만)/6 = 약 25,666 라인.	(낙관 + 4×중간 + 비관) / 6.	COCOMO / 기능 점수 / 소프트웨어 비용 산정	예측치 공식과 인월 계산을 묻는다.	5-3 비용 산정 · 일정 관리 (5과목)	유형_용어 과목5 챕터_5_3
COCOMO	Constructive Cost Model	보흠이 제안한, 원시 코드 라인 수(LOC)를 기반으로 노력을 산정하는 모형	유형은 조직형(Organic, 5만 라인 이하), 반분리형(Semi-Detached, 30만 라인 이하), 내장형(Embedded, 30만 라인 초과)이다.	예상 라인 수를 넣으면 필요한 인월(Man-Month)이 나온다.	조직형·반분리형·내장형 3유형. 보흠.	조직형 / 반분리형 / 내장형 / LOC	세 유형의 라인 수 기준을 바꿔 낸다.	5-3 비용 산정 · 일정 관리 (5과목)	유형_용어 과목5 챕터_5_3
조직형	Organic Mode	5만 라인 이하의 소규모 소프트웨어를 개발하는 COCOMO 유형	사무 처리용, 업무용, 과학기술 계산용 소프트웨어가 해당한다.	사내 근태 관리 시스템처럼 5만 라인 이하의 단순한 업무 시스템.	5만 라인 이하 — 사무·업무·과학기술 계산.	반분리형 / 내장형 / COCOMO	라인 수 기준 문제.	5-3 비용 산정 · 일정 관리 (5과목)	유형_용어 과목5 챕터_5_3
반분리형	Semi-Detached Mode	30만 라인 이하의 중간 규모 소프트웨어를 개발하는 COCOMO 유형	컴파일러, 인터프리터, 트랜잭션 처리 시스템이 해당한다.	컴파일러나 트랜잭션 처리 시스템급 — 30만 라인 이하.	30만 라인 이하 — 중간 규모.	조직형 / 내장형	라인 수 기준 문제.	5-3 비용 산정 · 일정 관리 (5과목)	유형_용어 과목5 챕터_5_3
내장형	Embedded Mode	30만 라인 이상의 대규모 소프트웨어를 개발하는 COCOMO 유형	운영체제, 실시간 처리 시스템, 미사일 유도 시스템이 해당한다.	운영체제, 미사일 유도, 실시간 관제 — 30만 라인 초과.	30만 라인 초과 — 가장 어렵다.	조직형 / 반분리형	라인 수 기준 문제.	5-3 비용 산정 · 일정 관리 (5과목)	유형_용어 과목5 챕터_5_3
Putnam	Putnam Model	생명주기 전체에 필요한 노력의 분포를 Rayleigh-Norden 곡선으로 가정한 비용 산정 모형	소프트웨어 방정식을 사용하며 자동화 추정 도구는 SLIM이다.	프로젝트 기간에 따라 투입 인력이 종 모양으로 오르내린다고 가정한다.	Rayleigh-Norden 곡선 · 자동화 도구는 SLIM.	COCOMO / 기능 점수 / SLIM	모형과 자동화 도구를 짝짓게 한다.	5-3 비용 산정 · 일정 관리 (5과목)	유형_용어 과목5 챕터_5_3
기능 점수	Function Point, FP	소프트웨어의 기능 수를 기준으로 비용을 산정하는 모형	요인은 자료 입력(입력 양식), 정보 출력(출력 보고서), 명령어(사용자 질의 수), 데이터 파일, 필요한 외부 루틴과의 인터페이스다. 자동화 도구는 ESTIMACS다.	입력 화면 12개, 출력 보고서 8개, 조회 20건을 세어 규모를 낸다.	기능의 「개수」로 센다 · 도구는 ESTIMACS.	COCOMO / LOC / ESTIMACS	기능 점수의 요인 5종 나열형.	5-3 비용 산정 · 일정 관리 (5과목)	유형_용어 과목5 챕터_5_3
PERT	Program Evaluation and Review Technique	작업의 낙관치·기대치·비관치로 예측 기간을 계산하는 일정 계획 기법	불확실성이 큰 프로젝트에 적합하다. 노드는 작업, 간선은 순서를 나타낸다.	신기술을 처음 쓰는 작업에 낙관·기대·비관 3개 값을 넣어 기간을 추정한다.	불확실할 때 3점 추정.	CPM / 간트 차트	PERT와 CPM의 차이를 묻는다.	5-3 비용 산정 · 일정 관리 (5과목)	유형_용어 과목5 챕터_5_3
CPM	Critical Path Method	작업 간 의존 관계를 네트워크로 표현해 최장 경로(임계 경로)를 찾는 일정 계획 기법	임계 경로가 곧 최소 완료 기간이다. 작업 기간이 확정적인 프로젝트에 적합하다.	작업 네트워크를 그려 가장 오래 걸리는 경로가 곧 최소 완료 기간임을 확인한다.	기간이 확정적일 때 · 임계 경로.	PERT / 임계 경로 / 간트 차트	네트워크를 주고 임계 경로 기간을 계산하게 한다.	5-3 비용 산정 · 일정 관리 (5과목)	유형_용어 과목5 챕터_5_3
임계 경로	Critical Path	프로젝트를 완료하는 데 걸리는 최장 경로, 즉 최소 소요 기간	이 경로가 지연되면 전체 일정이 지연된다.	A(3일) → B(6일) → C(4일) = 13일이 최장이면 프로젝트는 최소 13일.	여기가 하루 밀리면 전체가 하루 밀린다.	CPM / PERT	경로별 기간을 합산해 최댓값을 찾게 한다.	5-3 비용 산정 · 일정 관리 (5과목)	유형_용어 과목5 챕터_5_3
간트 차트	Gantt Chart	작업 일정을 막대 그래프로 표현한 일정 계획 도구	시간선 차트라고도 한다. 자원 배치와 일정을 함께 표현한다. 작업 간 의존 관계는 표현하기 어렵다.	MS Project 의 막대 그래프 — 누가 언제 무엇을 하는지 한눈에 본다.	막대 그래프 = 간트. 의존 관계 표현은 약하다.	CPM / PERT / 소멸 차트	막대 그래프 = 간트 차트.	5-3 비용 산정 · 일정 관리 (5과목)	유형_용어 과목5 챕터_5_3
Brooks 법칙	Brooks' Law	지연되는 프로젝트에 인력을 더 투입하면 오히려 더 지연된다는 법칙	의사소통 경로와 교육 비용이 늘기 때문이다.	늦어진 프로젝트에 인력 5명을 급히 넣었더니 더 늦어졌다.	의사소통 경로 n(n-1)/2 — 사람이 늘면 급증한다.	프로젝트 관리 / 위험 관리	인력 추가의 역효과로 출제.	5-3 비용 산정 · 일정 관리 (5과목)	유형_용어 과목5 챕터_5_3
SLIM	SLIM	Putnam 모형을 기반으로 한 자동화 비용 산정 도구	Rayleigh-Norden 곡선과 소프트웨어 방정식을 사용한다.	Putnam 모형을 계산해 주는 상용 도구.	Putnam의 짝.	Putnam / ESTIMACS	모형과 도구를 짝짓게 한다.	5-3 비용 산정 · 일정 관리 (5과목)	유형_용어 과목5 챕터_5_3
ESTIMACS	ESTIMACS	기능 점수(FP) 모형을 기반으로 한 자동화 비용 산정 도구	개발 초기 단계에서 사용한다.	기능 점수 기반으로 초기 견적을 뽑는 도구.	FP의 짝.	기능 점수 / SLIM	모형과 도구를 짝짓게 한다.	5-3 비용 산정 · 일정 관리 (5과목)	유형_용어 과목5 챕터_5_3
ISO/IEC 12207	ISO/IEC 12207	소프트웨어 생명주기 프로세스의 국제 표준	기본 생명주기 프로세스(획득, 공급, 개발, 운영, 유지보수), 지원 생명주기 프로세스(문서화, 형상관리, 품질보증, 검증, 확인, 합동검토, 감사, 문제해결), 조직 생명주기 프로세스(관리, 기반구조, 훈련, 개선)로 구성된다.	RFP 에 「생명주기 프로세스는 ISO 12207 을 따른다」로 명시한다.	기본·지원·조직 3가지 프로세스 그룹.	CMMI / SPICE / ISO/IEC 9126	3가지 프로세스 분류와 각 항목을 묻는다.	5-4 개발 표준 · 테일러링 · 프레임워크 (5과목)	유형_용어 과목5 챕터_5_4
CMMI	Capability Maturity Model Integration	소프트웨어 개발 조직의 능력 성숙도를 5단계로 평가하는 모델	1 초기(Initial), 2 관리(Managed), 3 정의(Defined), 4 정량적 관리(Quantitatively Managed), 5 최적화(Optimizing)다.	「우리 회사는 CMMI 레벨 3 인증」이 SI 입찰 자격이 되기도 한다.	초기 → 관리 → 정의 → 정량적 관리 → 최적화 5단계.	SPICE / ISO/IEC 12207	5단계의 이름과 순서를 바꿔 낸다.	5-4 개발 표준 · 테일러링 · 프레임워크 (5과목)	유형_용어 과목5 챕터_5_4
SPICE	Software Process Improvement and Capability dEtermination	ISO/IEC 15504로 제정된 소프트웨어 프로세스 평가 국제 표준	프로세스 수행 능력을 0 불완전, 1 수행, 2 관리, 3 확립, 4 예측, 5 최적화 6단계로 평가한다. CMMI는 5단계이므로 개수가 다르다.	ISO 15504 — 프로세스 능력을 0~5 여섯 단계로 평가한다.	SPICE는 6단계, CMMI는 5단계.	CMMI / ISO/IEC 12207	단계 수(SPICE 6, CMMI 5)와 이름을 바꿔 낸다.	5-4 개발 표준 · 테일러링 · 프레임워크 (5과목)	유형_용어 과목5 챕터_5_4
테일러링	Tailoring	프로젝트 상황과 특성에 맞추어 기존 방법론의 절차·산출물 등을 적절히 변경하는 활동	예상되는 변화를 배제하는 것이 아니라 충분히 고려해야 한다. 내부 기준은 목표 환경, 요구사항, 프로젝트 규모, 보유 기술이고 외부 기준은 법적 제약사항, 표준 품질 기준이다.	표준 방법론의 산출물 30종 중 이 프로젝트에 맞는 12종만 남긴다.	예상되는 변화를 「충분히 고려」한다 — 배제한다고 하면 오답.	소프트웨어 개발 프레임워크 / 프로젝트 관리 / 위험 관리	변화를 배제하고 신속히 진행해야 한다는 문장이 틀린 보기로 출제된다.	5-4 개발 표준 · 테일러링 · 프레임워크 (5과목)	유형_용어 과목5 챕터_5_4 오답노트출처
전자정부 표준 프레임워크	eGovFrame	대한민국 공공 부문 정보화 사업의 개발 프레임워크 표준	Spring 기반이며 화면 처리, 업무 처리, 데이터 처리, 연계 통합, 공통 기술, 배치 처리 계층으로 구성된다.	공공 정보화 사업 제안서에 필수로 들어가는 스프링 기반 표준 프레임워크.	화면·업무·데이터·연계·공통기술·배치 계층.	Spring / 소프트웨어 개발 프레임워크	공공 표준 프레임워크로 출제.	5-4 개발 표준 · 테일러링 · 프레임워크 (5과목)	유형_용어 과목5 챕터_5_4
소프트웨어 재공학	Software Reengineering	기존 소프트웨어를 분석·개선해 재사용성과 유지보수성을 높이는 활동	주요 활동은 분석(Analysis), 재구성(Restructuring), 역공학(Reverse Engineering), 이식(Migration)이다.	20년 된 COBOL 정산 시스템을 분석해 자바로 되살린다.	분석 · 재구성 · 역공학 · 이식.	재구성 / 역공학 / 이식 / CASE	4가지 활동의 정의를 바꿔 낸다.	5-4 개발 표준 · 테일러링 · 프레임워크 (5과목)	유형_용어 과목5 챕터_5_4 오답노트출처
재구성	Restructuring	기능과 외적 동작은 그대로 두고 소스 코드 수준의 품질을 개선하는 재공학 활동	리팩토링과 성격이 같다. 환경을 옮기는 것은 이식이므로 다르다.	동작은 그대로 두고 800줄 함수를 쪼개 가독성만 올린다.	코드 품질만 개선 — 환경은 그대로.	이식 / 역공학 / 리팩토링	환경 이동을 재구성으로 잘못 연결하는 함정이 있다.	5-4 개발 표준 · 테일러링 · 프레임워크 (5과목)	유형_용어 과목5 챕터_5_4 오답노트출처
역공학	Reverse Engineering	완성된 코드로부터 설계 정보나 문서를 추출하는 재공학 활동	소스 코드에서 상위 수준 정보를 뽑아낸다. 방향이 코드에서 설계로 거슬러 올라간다.	문서가 없는 시스템의 코드를 읽어 클래스 다이어그램을 복원한다.	코드 → 설계 (거꾸로).	재구성 / 이식 / CASE	방향(코드 → 설계)을 묻는다.	5-4 개발 표준 · 테일러링 · 프레임워크 (5과목)	유형_용어 과목5 챕터_5_4 오답노트출처
이식	Migration	기존 소프트웨어를 다른 운영체제나 하드웨어 환경에서 사용할 수 있도록 변환하는 재공학 활동	환경 이동이 핵심이다. 재구성과 헷갈리게 출제된다.	온프레미스 시스템을 AWS로, AIX 서버를 리눅스로 옮긴다.	다른 OS·하드웨어 환경으로 = 이식.	재구성 / 역공학 / 이식성	다른 OS·HW 환경 = 이식.	5-4 개발 표준 · 테일러링 · 프레임워크 (5과목)	유형_용어 과목5 챕터_5_4 오답노트출처
CASE	Computer Aided Software Engineering	소프트웨어 개발 과정 전체 또는 일부를 자동화한 도구	상위 CASE(계획·분석·설계), 하위 CASE(구현·테스트), 통합 CASE로 나뉜다. 표준화된 개발 환경과 문서화를 지원한다.	요구사항부터 코드 생성까지 도구로 자동화한다.	상위(분석·설계) · 하위(구현·테스트) · 통합.	소프트웨어 재공학 / CRUD 분석	CASE 분석이라는 유사 용어로 CRUD 분석 문제의 오답이 된다.	5-4 개발 표준 · 테일러링 · 프레임워크 (5과목)	유형_용어 과목5 챕터_5_4
상향식 개발	Bottom-Up Development	하위 모듈부터 개발해 위로 통합하는 개발 방식	상향식 통합 테스트와 대응한다.	DB 접근 모듈부터 만들고 위로 쌓아 올린다.	아래 → 위.	하향식 개발 / 상향식 통합 테스트	방향 구별 문제.	5-4 개발 표준 · 테일러링 · 프레임워크 (5과목)	유형_용어 과목5 챕터_5_4
하향식 개발	Top-Down Development	상위 모듈부터 개발해 아래로 내려가는 개발 방식	단계적 분해 원리를 사용한다.	화면과 흐름을 먼저 만들고 세부 모듈로 내려간다.	위 → 아래 · 단계적 분해.	상향식 개발 / 단계적 분해	방향 구별 문제.	5-4 개발 표준 · 테일러링 · 프레임워크 (5과목)	유형_용어 과목5 챕터_5_4
Mesh Network	Mesh Network	기존 무선 랜의 한계를 극복하기 위해 등장했으며 대규모 디바이스 네트워크 생성에 최적화된 네트워크 기술	차세대 이동통신, 홈네트워킹, 공공 안전 등 특수 목적에 사용한다. 노드가 그물처럼 서로 연결된다.	재난 현장에서 기지국 없이 단말끼리 그물처럼 연결해 통신한다.	「대규모 디바이스」라는 표현이 나오면 Mesh.	LAN / 애드혹 네트워크 / VANET	대규모 디바이스라는 표현이 나오면 Mesh Network.	5-5 네트워크 신기술 (5과목)	유형_용어 과목5 챕터_5_5 오답노트출처
